កករចិត្ត	កករ-ចិត្ត
ជជ្រុលជជ្រួស	ជជ្រុល-ជ-ជ្រួស
ជជ្រុលមមុល	ជជ្រុល-មមុល
ជញ្ជក់មាត់	ជញ្ជក់-មាត់
ជញ្ជាត់ព្រលឹង	ជញ្ជាត់-ព្រលឹង
ជញ្ជាន់ស្លាញ	ជញ្ជាន់-ស្លាញ
ជញ្ជាំងផែង	ជញ្ជាំង-ផែង
ជញ្ជាំងភ្លើង	ជញ្ជាំង-ភ្លើង
ជញ្ជាំងអឌ្ឍសិទ្ធិ	ជញ្ជាំង-អឌ្ឍសិទ្ធិ
ជញ្ជីងទូទាត់	ជញ្ជីង-ទូទាត់
ជណ្ដើរយន្ត	ជណ្ដើរ-យន្ត
ជណ្ដើរស្វា	ជណ្ដើរ-ស្វា
ជតានិយម	ជតា-និយម
ជតារាសី	ជតា-រាសី
ជនកសមាជិក	ជនក-សមាជិក
ជនកុម្មុយនីស្ត	ជន-កុម្មុយនីស្ត
ជនក្បត់	ជន-ក្បត់
ជនជាតិ	ជន-ជាតិ
ជនជាតិដើម	ជនជាតិ-ដើម
ជនជាតិដើមភាគតិច	ជនជាតិដើម-ភាគតិច
ជនជាតិភាគតិច	ជនជាតិ-ភាគតិច
ជនជាប់សង្ស័យ	ជន-ជាប់សង្ស័យ
ជននិករ	ជន-និករ
ជននិកាយ	ជន-និកាយ
ជននីនាថ	ជននី-នាថ
ជននីនាថា	ជននី-នា-ថា
ជនបទាធិបតី	ជន-ប-ទា-ធិបតី
ជនបម្លាស់ទី	ជន-បម្លាស់ទី
ជនបរទេស	ជន-បរទេស
ជនប្រវេសន៍	ជន-ប្រវេសន៍
ជនពិការ	ជន-ពិការ
ជនភៀសខ្លួន	ជន-ភៀសខ្លួន
ជនល្មើស	ជន-ល្មើស
ជនសង្ស័យ	ជន-សង្ស័យ
ជនអន្តោប្រវេសន៍	ជន-អន្តោប្រវេសន៍
ជនាចារ	ជ-នា-ចារ
ជនាធិប	ជ-នា-ធិប
ជនាធិបតី	ជនាធិប-តី
ជនានុគ្រោះ	ជ-នា-នុគ្រោះ
ជនាស្រ័យ	ជ-នា-ស្រ័យ
ជនីនាថ	ជនី-នាថ
ជនីនាថា	ជនី-នា-ថា
ជនីបកលា	ជនី-បក-លា
ជនូបត្ថម្ភក	ជនូបត្ថម្ភ-ក
ជនូបត្ថម្ភកៈ	ជនូបត្ថម្ភ-កៈ
ជនោត្តម	ជនោ-ត្តម
ជនោទ័យ	ជនោ-ទ័យ
ជន្មវស្សា	ជន្ម-វស្សា
ជន្មវុឌ្ឍិ	ជន្ម-វុឌ្ឍិ
ជន្លជន្លេញ	ជន្ល-ជន្លេញ
ជន្លាត់ដៃ	ជន្លាត់-ដៃ
ជន្លួញបរ	ជន្លួញ-បរ
ជន្លួញមាន់	ជន្លួញ-មាន់
ជបកម្ម	ជប-កម្ម
ជបករណ៍	ជប-ករណ៍
ជបការក៍	ជប-កា-រក៍
ជបការិកា	ជប-ការិកា
ជបការិនី	ជប-ការិនី
ជបនាការ	ជប-នា-ការ
ជបមន្ត	ជប-មន្ត
ជបមាលា	ជប-មាលា
ជបលក្ខណ៍	ជប-លក្ខណ៍
ជបលក្សណ៍	ជប-លក្សណ៍
ជបសូត្រ	ជប-សូត្រ
ជប់ខ្យល់	ជប់-ខ្យល់
ជប់លៀង	ជប់-លៀង
ជម្ពូទេព	ជម្ពូ-ទេព
ជម្ពូទ្វីប	ជម្ពូ-ទ្វីប
ជម្ពូនទៈ	ជម្ពូ-ន-ទៈ
ជម្ពូផល	ជម្ពូ-ផល
ជម្ពូពាន	ជម្ពូ-ពាន
ជម្ពូព្រឹក្ស	ជម្ពូ-ព្រឹក្ស
ជម្ពូរត្ន	ជម្ពូ-រត្ន
ជម្រកនយោបាយ	ជម្រក-នយោបាយ
ជម្រាប	ជ-ម្រាប
ជម្រាបលា	ជម្រាប-លា
ជម្រាបសួរ	ជម្រាប-សួរ
ជម្រេញ	ជម្រេ-ញ
ជម្រែក	ជ-ម្រែក
ជម្រះក្ដី	ជម្រះ-ក្ដី
ជម្រះទោស	ជម្រះ-ទោស
ជម្រះបញ្ជី	ជម្រះ-បញ្ជី
ជម្លើយ	ជ-ម្លើយ
ជម្លោះ	ជ-ម្លោះ
ជយកុញ្ជរ	ជយ-កុញ្ជរ
ជយដ្ឋាន	ជយ-ដ្ឋាន
ជយតុភវំ!	ជយតុ-ភវំ-!
ជយពាទ្យ	ជយ-ពាទ្យ
ជយព្រឹក្ស	ជយ-ព្រឹក្ស
ជយភូមិ	ជយ-ភូមិ
ជយភេរី	ជយ-ភេរី
ជយមង្គល	ជយ-មង្គល
ជយមន្ត	ជយ-មន្ត
ជយលិខិត	ជយ-លិខិត
ជយលេខា	ជយ-លេខា
ជយវរ្ម័ន	ជយ-វរ្ម័ន
ជយវាទ្យ	ជយ-វាទ្យ
ជយសង្ខ	ជយ-សង្ខ
ជយសព្ទ	ជយ-សព្ទ
ជយស័ង្ខ	ជយ-ស័ង្ខ
ជយស្ថាន	ជយ-ស្ថាន
ជយានុភាព	ជ-យានុ-ភាព
ជយាវុធ	ជ-យា-វុធ
ជយោបាយ	ជយោ-បាយ
ជរាកាល	ជរា-កាល
ជរាទុក្ខ	ជរា-ទុក្ខ
ជរាទុព្វល	ជរា-ទុព្វល
ជរាទុព្វលភាព	ជរាទុព្វល-ភាព
ជរាធម៌	ជរា-ធម៌
ជរាពាធ	ជរា-ពាធ
ជរាភាព	ជរា-ភាព
ជរាភិភូត	ជរា-ភិ-ភូត
ជរាមច្ចុ	ជរា-មច្ចុ
ជរាមរណៈ	ជរា-មរណៈ
ជរាម័យ	ជរា-ម័យ
ជរារោគ	ជរា-រោគ
ជរាលក្ខណៈ	ជរា-លក្ខណៈ
ជលគតវិទ្យា	ជល-គត-វិទ្យា
ជលគមនាគមន៍	ជល-គមនាគមន៍
ជលជីវសាស្ត្រ	ជល-ជីវសាស្ត្រ
ជលដ្ឋាន	ជល-ដ្ឋាន
ជលធារវិទ្យា	ជលធារ-វិទ្យា
ជលធារសាស្ត្រ	ជលធារ-សាស្ត្រ
ជលធារា	ជល-ធារា
ជលនិធិ	ជល-និធិ
ជលនេត្រ	ជល-នេត្រ
ជលន័យន៍	ជល-ន័យន៍
ជលបក្សី	ជល-បក្សី
ជលភាជនៈ	ជល-ភាជនៈ
ជលភាជន៍	ជល-ភាជន៍
ជលភូគព្ភវិទ្យា	ជល-ភូគព្ភវិទ្យា
ជលមាគ៌	ជល-មាគ៌
ជលយន្ត	ជល-យន្ត
ជលយាត្រា	ជល-យាត្រា
ជលវិទ្យា	ជល-វិទ្យា
ជលសាគរ	ជល-សាគរ
ជលសាស្ត្រ	ជល-សាស្ត្រ
ជលសីមា	ជល-សីមា
ជលស្ដម្ភ	ជល-ស្ដម្ភ
ជលស្ថាន	ជល-ស្ថាន
ជលាកាសយាន	ជលា-កាស-យាន
ជលាចរចា	ជលា-ចរចា
ជលាធារ	ជលា-ធារ
ជលាស័យ	ជលា-ស័យ
ជលេស្វរៈ	ជ-លេ-ស្វរៈ
ជវនចិត្ត	ជវន-ចិត្ត
ជវនដ្ឋាន	ជ-វនដ្ឋាន
ជវនវីថិ	ជវន-វីថិ
ជវនវីថី	ជវន-វី-ថី
ជវភាពប្រជាសាស្ត្រ	ជវភាព-ប្រជាសាស្ត្រ
ជវលេខកៈ	ជវលេខ-កៈ
ជវលេខយន្ត	ជវលេខ-យន្ត
ជាក់ច្បាស់	ជាក់-ច្បាស់
ជាក់លាក់	ជាក់-លាក់
ជាក់ស្ដែង	ជាក់-ស្ដែង
ជាក់ស្បាន់	ជាក់-ស្បាន់
ជាងតម្បាញ	ជាង-តម្បាញ
ជាងស្មិត	ជាង-ស្មិត
ជាងស្មូន	ជាង-ស្មូន
ជាតប្បមាណ	ជា-ត-ប្ប-មា-ណ
ជាតពលៈ	ជា-ត-ពលៈ
ជាតពុទ្ធិ	ជា-ត-ពុទ្ធិ
ជាតរូប	ជា-ត-រូប
ជាតវិទ្យា	ជា-ត-វិទ្យា
ជាតវេទ	ជា-ត-វេទ
ជាតសព្ទ	ជា-ត-សព្ទ
ជាតសព្ទវិទ្យា	ជាតសព្ទ-វិទ្យា
ជាតសិលា	ជា-ត-សិលា
ជាតស្រង់	ជា-ត-ស្រង់
ជាតស្រះ	ជា-ត-ស្រះ
ជាតហិង្គុល	ជា-ត-ហិង្គុល
ជាតហិង្គុលខ្វាក់	ជាតហិង្គុល-ខ្វាក់
ជាតិទុក្ខ	ជាតិ-ទុក្ខ
ជាតិធម៌	ជាតិ-ធម៌
ជាតិនិយម	ជាតិ-និយម
ជាតិនិយមជ្រុល	ជាតិនិយម-ជ្រុល
ជាតិប្រមាណ	ជាតិ-ប្រមាណ
ជាតិពន្ធុ	ជាតិ-ពន្ធុ
ជាតិពន្ធុវិទូ	ជាតិពន្ធុ-វិទូ
ជាតិពន្ធុវិទ្យា	ជាតិពន្ធុ-វិទ្យា
ជាតិភូមិ	ជាតិ-ភូមិ
ជាតិរស	ជាតិ-រស
ជាតិលិង្គ	ជាតិ-លិង្គ
ជាតីឧត្តម	ជាតី-ឧត្តម
ជាតូបករណ៍	ជា-តូប-ករណ៍
ជាតូបនីយកម្ម	ជា-តូប-នី-យ-កម្ម
ជាត្យានុវាទ	ជា-ត្យានុវាទ
ជានិច្ច	ជា-និច្ច
ជានុមណ្ឌល	ជានុ-មណ្ឌល
ជាន់កគ្នាស៊ី	ជាន់ក-គ្នា-ស៊ី
ជាន់កែង	ជាន់-កែង
ជាន់ឆាយ	ជាន់-ឆាយ
ជាន់ឈ្លី	ជាន់-ឈ្លី
ជាន់ដាន	ជាន់-ដាន
ជាន់ផ្អៀង	ជាន់-ផ្អៀង
ជាន់ពន្លិច	ជាន់-ពន្លិច
ជាន់មាត់	ជាន់-មាត់
ជាន់ឡើង	ជាន់-ឡើង
ជាន់អង្ករ	ជាន់-អង្ករ
ជាន់អង្សា	ជាន់-អង្សា
ជាន់អារក្ស	ជាន់-អារក្ស
ជាន់ឥដ្ឋ	ជាន់-ឥដ្ឋ
ជាប់ក្ដី	ជាប់-ក្ដី
ជាប់គុក	ជាប់-គុក
ជាប់ចិត្ត	ជាប់-ចិត្ត
ជាប់ចោទ	ជាប់-ចោទ
ជាប់ចំណង	ជាប់-ចំណង
ជាប់ជម្រះ	ជាប់-ជម្រះ
ជាប់ជំពាក់	ជាប់-ជំពាក់
ជាប់ទោសមួយត្រណោត	ជាប់ទោស-មួយ-ត្រណោត
ជាប់ពូជ	ជាប់-ពូជ
ជាប់មាត់	ជាប់-មាត់
ជាប់មួយត្រណោត	ជាប់-មួយ-ត្រណោត
ជាប់រសោងដូចសម្លកំពឹស	ជាប់រសោង-ដូច-សម្ល-កំពឹស
ជាប់លាប់	ជាប់-លាប់
ជាប់លេខ	ជាប់-លេខ
ជាប់សន្លុង	ជាប់-សន្លុង
ជាប់សែ	ជាប់-សែ
ជាប់អន្ទាក់	ជាប់-អន្ទាក់
ជាពិសេស	ជា-ពិសេស
ជាមួយនឹង	ជាមួយ-នឹង
ជាម្ចាស់	ជា-ម្ចាស់
ជាយក្រុង	ជាយ-ក្រុង
ជាយគ្រែង	ជាយ-គ្រែង
ជាយទ្វីប	ជាយ-ទ្វីប
ជាយផ្លូវ	ជាយ-ផ្លូវ
ជាលបត្តសត្វ	ជា-ល-បត្ត-សត្វ
ជាលភណ្ឌ	ជា-ល-ភណ្ឌ
ជាលភ្នែកក្រួច	ជា-ល-ភ្នែកក្រួច
ជាលិកា	ជា-លិកា
ជាលិកាវិទ្យា	ជាលិកា-វិទ្យា
ជាលិកាសាស្ត្រ	ជាលិកា-សាស្ត្រ
ជាលិនី	ជា-លិ-នី
ជាសោះសា	ជា-សោះសា
ជាសះស្បើយ	ជា-សះស្បើយ
ជិណ្ណកាយ	ជិណ្ណ-កាយ
ជិណ្ណពាណិជ្ជ	ជិណ្ណ-ពាណិជ្ជ
ជិណ្ណពាណិជ្ជករ	ជិណ្ណពាណិជ្ជ-ករ
ជិណ្ណភាព	ជិណ្ណ-ភាព
ជិណ្ណរូប	ជិណ្ណ-រូប
ជិតខាង	ជិត-ខាង
ជិតឈឹង	ជិត-ឈឹង
ជិតដិត	ជិត-ដិត
ជិតស្និទ្ធ	ជិត-ស្និទ្ធ
ជិតំជិតំ!	ជិតំជិតំ-!
ជិនបុត្រ	ជិន-បុត្រ
ជិនវង្ស	ជិន-វង្ស
ជិនស្រី	ជិន-ស្រី
ជិនោរស	ជិនោ-រស
ជិវ្ហាបសាទ	ជិវ្ហា-បសាទ
ជិវ្ហារូបារម្មណ៍	ជិវ្ហា-រូបារម្មណ៍
ជិវ្ហាវិញ្ញាណ	ជិវ្ហា-វិញ្ញាណ
ជិះជាន់	ជិះ-ជាន់
ជិះអារម្មណ៍	ជិះ-អារម្មណ៍
ជីករីស	ជី-ករីស
ជីក្រែង	ជី-ក្រែង
ជីងចក់	ជី-ង-ចក់
ជីជាតិ	ជី-ជាតិ
ជីដូនមួយ	ជីដូន-មួយ
ជីទួតមួយ	ជីទួត-មួយ
ជីបអូចៗ	ជីប-អូច-ៗ
ជីពជន្ម	ជីព-ជន្ម
ជីពជាតិ	ជីព-ជាតិ
ជីភីអេស	ជី-ភី-អេ-ស
ជីរណិក	ជីរ-ណិក
ជីរណីយ	ជីរ-ណី-យ
ជីរណីយភាព	ជីរណីយ-ភាព
ជីរទ្រមឹង	ជីរ-ទ្រមឹង
ជីលួតមួយ	ជីលួត-មួយ
ជីវកជីវាក	ជីវក-ជីវា-ក
ជីវគីមីវិទ្យា	ជីវ-គីមីវិទ្យា
ជីវជាតិ	ជីវ-ជាតិ
ជីវន្ត	ជី-វន្ត
ជីវន្តី	ជី-វន្តី
ជីវប្បវត្តិ	ជីវ-ប្ប-វត្តិ
ជីវប្រវត្តិ	ជីវ-ប្រវត្តិ
ជីវព្រឹត្តិ	ជីវ-ព្រឹត្តិ
ជីវភាព	ជីវ-ភាព
ជីវភូមិវិទ្យា	ជីវ-ភូមិវិទ្យា
ជីវមណ្ឌល	ជីវ-មណ្ឌល
ជីវម៉ាស	ជីវ-ម៉ាស
ជីវរូបារម្មណ៍	ជីវ-រូបារម្មណ៍
ជីវវិទូ	ជីវ-វិទូ
ជីវវិទ្យា	ជីវ-វិទ្យា
ជីវសាស្ត្រ	ជីវ-សាស្ត្រ
ជីវឧតុភូតវិទ្យា	ជីវ-ឧតុភូតវិទ្យា
ជីវិតក្ស័យ	ជីវិត-ក្ស័យ
ជីវិតទាន	ជីវិត-ទាន
ជីវិតសង្ខារ	ជីវិត-សង្ខារ
ជីវិនី	ជីវិ-នី
ជីវៈចម្រុះ	ជីវៈ-ចម្រុះ
ជីវ្ហាវិញ្ញាណ	ជីវ្ហា-វិញ្ញាណ
