word	status	source	decision	note
កំរៀង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំរៃ	approved	sbbic-khmer-wordlist	variant	legacy orthography
កំលៀង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំសាត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំហួប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំហែក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំឡា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំឡាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំឡុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំឡោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំអែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ក៏ដែរ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
